COUNTRY,STORE_OP_ZONE_ID,BRAND_CATEGORY,DIA_SEMANA,ORDENES_TOTALES_DIA_AVG,GMV_DIA_AVG
MX,1274,Pizza,Wed,93.000000,1349.135
MX,1274,Pizza,Tue,98.750000,1456.4175
MX,947,Postres,Sat,61.000000,773.9225
UY,3,Italiana,Tue,0.500000,4.9325
CO,196,Hamburguesa,Thu,28.750000,461.8925
MX,1067,Alitas,Mon,46.250000,1267.4675
CO,10,Hamburguesa,Sun,832.750000,16682.1175
CO,23,Pollo,Fri,640.750000,9322.755
CO,22,Pollo,Sun,617.500000,11641.615
PE,17,Alitas,Tue,5.000000,36.575
PE,10,Saludable,Fri,846.750000,11884.6475
MX,1007,Pizza,Sun,1222.750000,24949.135
EC,150,Helados,Thu,1.750000,10.6575
MX,1536,Pescados y Mariscos,Wed,3.750000,73.2925
EC,180,Italiana,Mon,3.000000,59.9925
EC,180,Italiana,Sun,5.500000,143.5975
CL,232,Sándwiches,Wed,0.500000,5.75
MX,1391,Tacos,Sun,72.000000,1117.24
CO,61,Café,Thu,171.750000,1653.5125
MX,1075,Postres,Thu,247.750000,4891.3225
CO,7,Helados,Thu,374.750000,3931.095
MX,1075,Pollo,Thu,451.000000,7608.5125
MX,1274,Pizza,Thu,100.250000,1513.72
MX,659,Tacos,Tue,63.500000,938.5875
MX,660,Pizza,Thu,50.250000,619.46
MX,1007,Saludables y Ensaladas,Sat,423.500000,8877.9375
CO,312,Empanadas,Thu,12.500000,123.4175
MX,873,Antojitos y Garnachas,Sat,21.500000,258.1025
AR,169,Empanadas,Wed,44.500000,919.6
MX,873,Antojitos y Garnachas,Thu,17.250000,158.3975
CL,11,Asiática,Sun,159.000000,4835.225
PE,26,Sushi,Thu,88.500000,1326.5375
MX,1007,Sushi,Sat,570.000000,18912.545
AR,63,Empanadas,Wed,3.000000,39.075
AR,169,Empanadas,Tue,43.000000,1058.23
PE,10,Helados,Thu,135.500000,1918.3975
PE,48,Jugos y Batidos,Thu,33.250000,267.615
PE,1,Pollo crujiente,Wed,1029.000000,18350.895
PE,26,Sushi,Tue,78.250000,1203.88
CO,11,Café,Thu,72.000000,822.9825
CO,11,Café,Sun,33.250000,419.675
MX,985,Asiática,Fri,18.000000,428.6875
CO,11,Desayunos,Wed,32.750000,555.68
CO,247,Desayunos,Fri,19.250000,211.1625
CO,247,Desayunos,Tue,12.750000,112.38
CO,70,China,Sat,18.000000,316.7625
CO,342,Pizza,Sat,65.750000,1007.4375
CO,312,Jugos y Batidos,Tue,16.500000,150.93
MX,1336,Pollo,Fri,28.250000,440.3625
MX,1381,Pizza,Sun,208.000000,3201.1575
MX,821,Comida Rápida,Thu,19.500000,223.6075
CO,108,Sushi,Wed,7.500000,235.7025
MX,1321,Café y Té,Thu,87.750000,1010.2625
CO,343,Postres,Sat,90.250000,942.985
MX,939,Panadería y Pastelería,Fri,9.750000,208.7675
CO,194,Salchipapas,Tue,4.250000,49.245
CO,194,Salchipapas,Sat,8.000000,107.0925
CO,48,Postres,Tue,143.750000,1276.7275
CO,48,Postres,Sun,211.750000,2091.82
MX,729,Comida Rápida,Mon,11.000000,173.645
MX,729,Comida Rápida,Thu,12.250000,169.865
MX,1481,Asiática,Fri,35.750000,1535.25
MX,729,Mexicana,Fri,109.250000,1983.7875
MX,57,Sushi,Tue,58.750000,1378.425
MX,57,Sushi,Mon,73.000000,1761.13
MX,1321,Café y Té,Fri,104.000000,1310.4225
CO,343,Postres,Sun,82.000000,787.315
MX,561,Sándwiches,Wed,89.500000,1112.965
MX,1062,Tacos,Fri,128.250000,1533.0925
MX,57,Sushi,Thu,71.000000,1715.56
CO,29,Sushi,Sun,106.750000,2333.835
CO,16,Sánduches,Fri,311.500000,4820.345
CO,16,Sánduches,Sat,306.500000,4771.785
MX,868,Pollo,Sat,121.250000,2837.015
CO,17,Alitas,Sat,95.750000,2725.6475
MX,536,Pollo,Sat,102.500000,1825.29
AR,549,Sándwiches,Wed,13.250000,137.0225
MX,1067,Helados y Nieves,Sun,263.000000,4016.6725
MX,1333,Sándwiches,Mon,25.250000,312.0175
MX,1391,Mexicana,Sun,47.500000,669.4775
MX,1391,Mexicana,Thu,35.000000,390.4525
MX,628,Hamburguesas,Tue,68.000000,898.9425
MX,628,Hamburguesas,Thu,70.750000,987.1425
CO,343,Empanadas,Sat,2.500000,31.99
CO,343,Empanadas,Thu,2.250000,40.615
MX,1528,Café y Té,Thu,3.500000,31.915
MX,1027,Tacos,Wed,109.000000,1893.055
MX,1422,Postres,Mon,13.750000,161.84
MX,1422,Postres,Wed,15.000000,169.495
MX,886,Helados y Nieves,Mon,9.250000,140.6775
MX,954,Helados y Nieves,Mon,16.750000,248.2125
MX,1185,Hamburguesas,Thu,18.750000,266.1625
CL,9,Pollo,Sat,109.000000,2361.7075
AR,606,Argentina,Wed,1.000000,9.505
MX,1416,Tacos,Sun,89.750000,1628.255
CL,18,Hamburguesa,Sat,480.000000,8894.5325
CO,11,Pizza,Mon,167.250000,2773.935
MX,563,Hamburguesas,Mon,77.000000,856.235
MX,1444,Postres,Sat,0.750000,1.945
MX,1003,Tacos,Tue,580.500000,11360.6575
MX,542,Mexicana,Mon,59.250000,834.565
CL,10,Saludable,Mon,8.750000,132.095
AR,546,Hamburguesa,Wed,228.000000,3934.985
EC,150,Árabe,Sun,19.250000,248.4475
MX,628,Tacos,Tue,66.000000,776.045
PE,105,Pollo crujiente,Mon,388.000000,6881.605
AR,606,Argentina,Sat,3.750000,22.59
MX,1003,Tacos,Mon,584.250000,11782.235
BR,1395,Burgers,Fri,1.500000,22.0575
BR,1395,Burgers,Sat,2.000000,23.4225
AR,139,Sushi,Wed,21.500000,571.4775
AR,17,Pizza,Fri,21.000000,335.95
AR,493,Argentina,Tue,34.750000,511.2425
AR,493,Argentina,Fri,36.250000,493.39
CO,4,Pescados y Mariscos,Sun,182.500000,5005.7525
CO,223,Mexicana,Tue,2.500000,13.1
CO,8,Pollo,Sun,514.000000,10581.225
PE,105,Internacional,Fri,6.000000,109.3775
MX,1380,Carnes y BBQ,Fri,0.750000,17.525
MX,1380,Carnes y BBQ,Sat,1.000000,75.8175
BR,1465,Burgers,Fri,4.500000,81.8775
MX,928,Pizza,Sun,462.250000,7930.1525
MX,1509,Hamburguesas,Sun,6.500000,86.62
MX,1505,Sushi,Sat,43.250000,850.4525
MX,1505,Sushi,Fri,50.250000,768.1325
MX,1067,Mexicana,Tue,336.250000,6124.0025
CL,11,Carnes,Tue,8.750000,233.01
MX,1205,Pollo,Fri,22.750000,384.705
MX,1205,Pollo,Thu,16.000000,234.3125
CO,69,Perros Calientes,Mon,1.000000,9.64
CL,18,Sándwiches,Wed,87.250000,1251.82
AR,549,Sándwiches,Sat,7.750000,105.66
BR,1296,Sanduíches,Mon,0.500000,2.845
CO,196,Comida Rápida,Wed,6.000000,45.89
AR,533,Panadería,Fri,4.250000,45.145
MX,296,Tacos,Fri,17.250000,174.87
CL,232,Helados,Sat,1.500000,16.0925
MX,1037,Pizza,Fri,539.750000,7792.24
MX,1037,Pizza,Wed,346.500000,4684.43
MX,947,Postres,Wed,43.000000,416.5625
CL,11,Pizzas,Sat,413.750000,9553.13
